uuid;timefrom;timeto;latitude;longitude;accuracy;speed;speedaccuracy;altitude;altitudeaccuracy;daypart;lastupdated
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:40;07.04.2020 16:40;59.921103;10.676923;4.75;1.418;0;28.4;3.4;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:40;07.04.2020 16:40;59.921008;10.676857;4.739;1.308;0;25;3.4;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:40;07.04.2020 16:40;59.920966;10.676372;11.736;1.208;0;25.4;2.9;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:40;07.04.2020 16:40;59.920728;10.676201;15.867;1.707;0;26.2;3.3;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:40;07.04.2020 16:40;59.920493;10.675897;5.859;1.37;0;25.3;3.6;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:41;07.04.2020 16:41;59.920522;10.675762;4.889;0.857;0;26.7;3.6;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:41;07.04.2020 16:41;59.920525;10.675396;4.74;1.583;0;22.3;3.6;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:41;07.04.2020 16:41;59.920493;10.674982;4.85;1.558;0;18.3;3.2;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:41;07.04.2020 16:41;59.920463;10.674785;4.817;1.628;0;17;3.4;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:41;07.04.2020 16:41;59.920430;10.674417;4.798;1.583;0;14.1;3.4;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:41;07.04.2020 16:41;59.920403;10.674242;4.817;1.25;0;14.3;3.5;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:42;07.04.2020 16:42;59.920351;10.673955;5.077;1.878;0;13.1;3.6;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:42;07.04.2020 16:42;59.920326;10.673744;5.389;1.769;0;13.5;3.7;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:42;07.04.2020 16:42;59.920248;10.673368;5.592;1.465;0;12.7;3.4;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:42;07.04.2020 16:42;59.920217;10.673185;5.364;1.578;0;11.8;3.3;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:42;07.04.2020 16:42;59.920159;10.672998;5.226;1.675;0;12.1;3.3;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:42;07.04.2020 16:42;59.920060;10.672674;4.969;1.437;0;11.2;3.4;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:43;07.04.2020 16:43;59.920001;10.672515;4.913;1.499;0;11.1;3.4;98;08.04.2020 10:37
7b0aae906eb811eab2dbf2c0332c0ef9;07.04.2020 16:43;07.04.2020 16:43;59.919940;10.672329;4.764;1.589;0;9.5;3.4;98;08.04.2020 10:37
