"uuid","timefrom","timeto","latitude","longitude","accuracy","speed","speedaccuracy","altitude","altitudeaccuracy","daypart"
"5a749cc4724911ea86d7ee3617b084b4","2020-03-30T03:07:44.0000000","2020-03-30T03:30:38.0000000","59.960201","10.638452","17.064","0","0","206.7","4.3","90"
"5a749cc4724911ea86d7ee3617b084b4","2020-03-30T03:30:38.0000000","2020-03-30T03:31:27.0000000","59.960442","10.638422","17.003","1.945","0","206.7","4.3","90"
"5a749cc4724911ea86d7ee3617b084b4","2020-03-30T03:31:27.0000000","2020-03-30T03:45:07.0000000","59.960168","10.638477","17.023","1.119","0","206.7","4.3","90"
"5a749cc4724911ea86d7ee3617b084b4","2020-03-30T03:45:07.0000000","2020-03-30T03:49:13.0000000","59.960435","10.638442","24","3.24","0","206.7","4.5","90"
"5a749cc4724911ea86d7ee3617b084b4","2020-03-30T03:49:13.0000000","2020-03-30T04:20:02.0000000","59.960197","10.638456","17.172","0.208","0","206.9","4.3","90"
"5a749cc4724911ea86d7ee3617b084b4","2020-03-30T04:20:02.0000000","2020-03-30T04:20:27.0000000","59.960339","10.638331","12","0.189","0","206.7","4.3","90"
"5a749cc4724911ea86d7ee3617b084b4","2020-03-30T04:20:27.0000000","2020-03-30T04:46:20.0000000","59.960195","10.638458","17.225","0.295","0","206.9","3.7","90"
"5a749cc4724911ea86d7ee3617b084b4","2020-03-30T04:46:20.0000000","2020-03-30T04:46:46.0000000","59.960353","10.638272","16","0.677","0","206.9","4.5","90"
"5a749cc4724911ea86d7ee3617b084b4","2020-03-30T04:46:46.0000000","2020-03-30T06:00:01.0000000","59.960193","10.638464","17.016","0.337","0","206.9","4.5","90"
"5a749cc4724911ea86d7ee3617b084b4","2020-03-30T06:00:01.0000000","2020-03-30T06:02:29.0000000","59.960417","10.638382","16.837","1.87","0","206.9","4.5","90"
"5a749cc4724911ea86d7ee3617b084b4","2020-03-30T06:02:29.0000000","2020-03-30T06:13:11.0000000","59.960174","10.638398","16.875","1.894","0","206.9","4.5","90"
